"","Method","Z","p = 3","p = 4","p = 5","p = 6","p = 7","p = 8","p = 9","p = 10"
"1","GDA","Johnson","0.01 / 0.94","0.01 / 0.93","0.01 / 0.92","0.01 / 0.92","0.01 / 0.91","0.01 / 0.9","0.01 / 0.9","0.01 / 0.9"
"2","GDA","GS","0.08 / 0.62","0.07 / 0.63","0.06 / 0.65","0.06 / 0.64","0.05 / 0.63","0.05 / 0.63","0.04 / 0.62","0.04 / 0.62"
"3","GDA","PC","0.15 / 0.27","0.12 / 0.36","0.1 / 0.35","0.09 / 0.36","0.08 / 0.34","0.08 / 0.34","0.07 / 0.32","0.07 / 0.3"
"4","GDA","VM","0.02 / 0.89","0.02 / 0.86","0.02 / 0.85","0.02 / 0.84","0.02 / 0.83","0.02 / 0.82","0.02 / 0.81","0.02 / 0.81"
"5","CorPA","Johnson","0.02 / 0.94","0.02 / 0.93","0.02 / 0.91","0.01 / 0.91","0.01 / 0.9","0.01 / 0.89","0.01 / 0.89","0.01 / 0.88"
"6","CorPA","GS","0.11 / 0.58","0.1 / 0.55","0.08 / 0.56","0.07 / 0.54","0.07 / 0.54","0.06 / 0.52","0.05 / 0.52","0.05 / 0.51"
"7","CorPA","PC","0.15 / 0.27","0.12 / 0.36","0.11 / 0.35","0.1 / 0.35","0.09 / 0.33","0.08 / 0.33","0.07 / 0.31","0.07 / 0.3"
"8","CorPA","VM","0.03 / 0.88","0.03 / 0.84","0.03 / 0.82","0.03 / 0.81","0.03 / 0.8","0.03 / 0.78","0.03 / 0.78","0.02 / 0.78"
"9","RegPA","Johnson","0.02 / 0.92","0.02 / 0.89","0.02 / 0.88","0.02 / 0.86","0.02 / 0.85","0.02 / 0.84","0.02 / 0.83","0.02 / 0.84"
"10","RegPA","GS","0.11 / 0.56","0.1 / 0.56","0.09 / 0.55","0.08 / 0.54","0.07 / 0.52","0.07 / 0.51","0.06 / 0.51","0.06 / 0.51"
"11","RegPA","PC","0.15 / 0.27","0.12 / 0.36","0.11 / 0.35","0.1 / 0.35","0.09 / 0.33","0.08 / 0.33","0.07 / 0.31","0.07 / 0.3"
"12","RegPA","VM","0.03 / 0.88","0.03 / 0.84","0.03 / 0.82","0.03 / 0.8","0.03 / 0.79","0.03 / 0.78","0.02 / 0.77","0.02 / 0.77"
"13","IdA","Johnson","0.05 / 0.9","0.05 / 0.87","0.04 / 0.84","0.04 / 0.83","0.03 / 0.83","0.03 / 0.82","0.03 / 0.82","0.03 / 0.81"
"14","IdA","GS","0.12 / 0.58","0.1 / 0.57","0.09 / 0.58","0.08 / 0.56","0.07 / 0.55","0.07 / 0.54","0.06 / 0.54","0.05 / 0.54"
"15","IdA","PC","0.29 / -0.05","0.24 / -0.02","0.21 / -0.02","0.19 / -0.03","0.16 / -0.01","0.15 / -0.01","0.13 / 0.01","0.12 / 0.01"
"16","IdA","VM","0.06 / 0.85","0.06 / 0.8","0.05 / 0.76","0.05 / 0.75","0.04 / 0.74","0.04 / 0.73","0.04 / 0.72","0.04 / 0.72"
